,Ankanam,Acre,Are,Bigha – Assam,Bigha –  Bengal,Bigha – Pucca-Bihar,Bigha – Pucca-UP-I,Bigha-Pucca-Rajasthan-I,Bigha-Pucca-Punjab-I,Bigha – Pucca-Haryana-I,Bigha Gujarat,Bigha-Rajasthan-II, Bigha HP-I, Bigha HP-II, Bigha-Uttarakhand I,Bigha-Uttarakhand-II,Bigha (MP),Bigha- Kachha-Punjab-II,Bigha- Kachha- Haryana-II,Bigha- Kachha-UP-II,Biswa – Pucca-UP-I,Biswa – Pucca-Rajasthan-I,Biswa – Pucca- Punjab-I,Biswa – Pucca-Haryana-I,Biswa – Rajasthan II,Biswa-HP-I,Biswa-Uttarakhand-I,Biswa-HP-II,Biswa-Uttarakhand-II,Biswa (Kaccha) –Punjab-II,Biswa (Kaccha) – Haryana-II,Biswa (Kaccha) – UP-II,Centiare, Cent,Chatak,Decimal,Dhur-Bihar,Dhur-Jharkhand, Dhur-Tripura,Ghumaon,Ground,Guntha,Hectare,Kanal, Kattha-Assam, Kattha-Bengal, Kattha-Bihar, Kattha-MP, Killa, Kranta, Kuncham, Lecha, Marla, Murabba, Nalli, Perch, Rood, Sarsahi (Square Karam), Shatak, Square Centimeters, Square Feet, Square Inch, Square Kilometer, Square Meter, Square Mile, Square Yard, Unwasi (एक उनवांसी), kachwansi (एक कचवांसी)
Decimal,6.05,0.01,0.4046860339,0.03025,0.03025,0.016,0.016,0.016,0.016,0.016,0.025,0.025,0.05,0.05377777778,0.05,0.05377777778,0.03630009075,0.04800015868,0.04800015868,0.04800015868,0.32,0.32,0.32,0.32,0.5,1,1,1.075555556,1.075555556,0.9599936529,0.9599936529,0.9599936529,40.46860339,1,9.68,1,6.4,6.4,121,0.01,0.1815,0.4,0.004046860339,0.08,0.15125,0.605,0.32,0.726,0.01,6.05,0.1,3.025,1.6,0.0004,0.2016666667,1.6,0.04,14.4,1,404686.0339,435.6,62726.44014,0.00004046856422,40.46856421,0.000015625,48.4,2560,128
Dhur-Bihar,0.9453125,0.0015625,0.06323219279,0.0047265625,0.0047265625,0.0025,0.0025,0.0025,0.0025,0.0025,0.00390625,0.00390625,0.0078125,0.008402777778,0.0078125,0.008402777778,0.00567188918,0.007500024793,0.007500024793,0.007500024793,0.05,0.05,0.05,0.05,0.078125,0.15625,0.15625,0.1680555556,0.1680555556,0.1499990083,0.1499990083,0.1499990083,6.323219279,0.15625,1.5125,0.15625,1,1,18.90625,0.0015625,0.028359375,0.0625,0.0006323219279,0.0125,0.0236328125,0.09453125,0.05,0.1134375,0.0015625,0.9453125,0.015625,0.47265625,0.25,0.0000625,0.03151041667,0.25,0.00625,2.25,0.15625,63232.19279,68.0625,9801.006273,0.00000632321316,6.323213158,0.00000244140625,7.5625,400,20
Dhur-Jharkhand,0.9453125,0.0015625,0.06323219279,0.0047265625,0.0047265625,0.0025,0.0025,0.0025,0.0025,0.0025,0.00390625,0.00390625,0.0078125,0.008402777778,0.0078125,0.008402777778,0.00567188918,0.007500024793,0.007500024793,0.007500024793,0.05,0.05,0.05,0.05,0.078125,0.15625,0.15625,0.1680555556,0.1680555556,0.1499990083,0.1499990083,0.1499990083,6.323219279,0.15625,1.5125,0.15625,1,1,18.90625,0.0015625,0.028359375,0.0625,0.0006323219279,0.0125,0.0236328125,0.09453125,0.05,0.1134375,0.0015625,0.9453125,0.015625,0.47265625,0.25,0.0000625,0.03151041667,0.25,0.00625,2.25,0.15625,63232.19279,68.0625,9801.006273,0.00000632321316,6.323213158,0.00000244140625,7.5625,400,20
 Dhur-Tripura,0.05,0.0000826446281,0.003344512677,0.00025,0.00025,0.000132231405,0.000132231405,0.000132231405,0.000132231405,0.000132231405,0.0002066115702,0.0002066115702,0.0004132231405,0.0004444444444,0.0004132231405,0.0004444444444,0.00030000075,0.0003966955263,0.0003966955263,0.0003966955263,0.002644628099,0.002644628099,0.002644628099,0.002644628099,0.004132231405,0.00826446281,0.00826446281,0.008888888889,0.008888888889,0.007933831842,0.007933831842,0.007933831842,0.3344512677,0.00826446281,0.08,0.00826446281,0.05289256198,0.05289256198,1,0.0000826446281,0.0015,0.003305785124,0.00003344512677,0.0006611570248,0.00125,0.005,0.002644628099,0.006,0.0000826446281,0.05,0.000826446281,0.025,0.0132231405,0.000003305785124,0.001666666667,0.0132231405,0.0003305785124,0.1190082645,0.00826446281,3344.512677,3.6,518.4003318,0.000000334450944,0.3344509439,0.0000001291322314,0.4,21.15702479,1.05785124
Ghumaon,605,1,40.46860339,3.025,3.025,1.6,1.6,1.6,1.6,1.6,2.5,2.5,5,5.377777778,5,5.377777778,3.630009075,4.800015868,4.800015868,4.800015868,32,32,32,32,50,100,100,107.5555556,107.5555556,95.99936529,95.99936529,95.99936529,4046.860339,100,968,100,640,640,12100,1,18.15,40,0.4046860339,8,15.125,60.5,32,72.6,1,605,10,302.5,160,0.04,20.16666667,160,4,1440,100,40468603.39,43560,6272644.014,0.004046856422,4046.856421,0.0015625,4840,256000,12800
Ground,33.33333333,0.05509641873,2.229675118,0.1666666667,0.1666666667,0.08815426997,0.08815426997,0.08815426997,0.08815426997,0.08815426997,0.1377410468,0.1377410468,0.2754820937,0.2962962963,0.2754820937,0.2962962963,0.2000005,0.2644636842,0.2644636842,0.2644636842,1.763085399,1.763085399,1.763085399,1.763085399,2.754820937,5.509641873,5.509641873,5.925925926,5.925925926,5.289221228,5.289221228,5.289221228,222.9675118,5.509641873,53.33333333,5.509641873,35.26170799,35.26170799,666.6666667,0.05509641873,1,2.203856749,0.02229675118,0.4407713499,0.8333333333,3.333333333,1.763085399,4,0.05509641873,33.33333333,0.5509641873,16.66666667,8.815426997,0.002203856749,1.111111111,8.815426997,0.2203856749,79.33884298,5.509641873,2229675.118,2400,345600.2212,0.000222967296,222.9672959,0.00008608815427,266.6666667,14104.6832,705.2341598
Guntha,15.125,0.025,1.011715085,0.075625,0.075625,0.04,0.04,0.04,0.04,0.04,0.0625,0.0625,0.125,0.1344444444,0.125,0.1344444444,0.09075022688,0.1200003967,0.1200003967,0.1200003967,0.8,0.8,0.8,0.8,1.25,2.5,2.5,2.688888889,2.688888889,2.399984132,2.399984132,2.399984132,101.1715085,2.5,24.2,2.5,16,16,302.5,0.025,0.45375,1,0.01011715085,0.2,0.378125,1.5125,0.8,1.815,0.025,15.125,0.25,7.5625,4,0.001,0.5041666667,4,0.1,36,2.5,1011715.085,1089,156816.1004,0.0001011714106,101.1714105,0.0000390625,121,6400,320
Hectare,1494.986111,2.471051423,100,7.474930556,7.474930556,3.953682277,3.953682277,3.953682277,3.953682277,3.953682277,6.177628558,6.177628558,12.35525712,13.28876543,12.35525712,13.28876543,8.969939092,11.86108604,11.86108604,11.86108604,79.07364555,79.07364555,79.07364555,79.07364555,123.5525712,247.1051423,247.1051423,265.7753086,265.7753086,237.2193682,237.2193682,237.2193682,10000,247.1051423,2391.977778,247.1051423,1581.472911,1581.472911,29899.72222,2.471051423,44.84958333,98.84205693,1,19.76841139,37.37465278,149.4986111,79.07364555,179.3983333,2.471051423,1494.986111,24.71051423,747.4930556,395.3682277,0.09884205693,49.83287037,395.3682277,9.884205693,3558.31405,247.1051423,100000000,107639,15500025.92,0.009999990323,9999.99032,0.003861017849,11959.88889,632589.1644,31629.45822
Kanal,75.625,0.125,5.058575423,0.378125,0.378125,0.2,0.2,0.2,0.2,0.2,0.3125,0.3125,0.625,0.6722222222,0.625,0.6722222222,0.4537511344,0.6000019835,0.6000019835,0.6000019835,4,4,4,4,6.25,12.5,12.5,13.44444444,13.44444444,11.99992066,11.99992066,11.99992066,505.8575423,12.5,121,12.5,80,80,1512.5,0.125,2.26875,5,0.05058575423,1,1.890625,7.5625,4,9.075,0.125,75.625,1.25,37.8125,20,0.005,2.520833333,20,0.5,180,12.5,5058575.423,5445,784080.5018,0.0005058570528,505.8570526,0.0001953125,605,32000,1600
 Kattha-Assam,40,0.06611570248,2.675610141,0.2,0.2,0.105785124,0.105785124,0.105785124,0.105785124,0.105785124,0.1652892562,0.1652892562,0.3305785124,0.3555555556,0.3305785124,0.3555555556,0.2400006,0.317356421,0.317356421,0.317356421,2.115702479,2.115702479,2.115702479,2.115702479,3.305785124,6.611570248,6.611570248,7.111111111,7.111111111,6.347065474,6.347065474,6.347065474,267.5610141,6.611570248,64,6.611570248,42.31404959,42.31404959,800,0.06611570248,1.2,2.644628099,0.02675610141,0.5289256198,1,4,2.115702479,4.8,0.06611570248,40,0.6611570248,20,10.5785124,0.002644628099,1.333333333,10.5785124,0.2644628099,95.20661157,6.611570248,2675610.141,2880,414720.2654,0.0002675607552,267.5607551,0.0001033057851,320,16925.61983,846.2809917
 Kattha-Bengal,10,0.01652892562,0.6689025353,0.05,0.05,0.02644628099,0.02644628099,0.02644628099,0.02644628099,0.02644628099,0.04132231405,0.04132231405,0.0826446281,0.08888888889,0.0826446281,0.08888888889,0.06000015,0.07933910525,0.07933910525,0.07933910525,0.5289256198,0.5289256198,0.5289256198,0.5289256198,0.826446281,1.652892562,1.652892562,1.777777778,1.777777778,1.586766368,1.586766368,1.586766368,66.89025353,1.652892562,16,1.652892562,10.5785124,10.5785124,200,0.01652892562,0.3,0.6611570248,0.006689025353,0.132231405,0.25,1,0.5289256198,1.2,0.01652892562,10,0.1652892562,5,2.644628099,0.0006611570248,0.3333333333,2.644628099,0.06611570248,23.80165289,1.652892562,668902.5353,720,103680.0664,0.0000668901888,66.89018878,0.00002582644628,80,4231.404959,211.5702479
 Kattha-Bihar,18.90625,0.03125,1.264643856,0.09453125,0.09453125,0.05,0.05,0.05,0.05,0.05,0.078125,0.078125,0.15625,0.1680555556,0.15625,0.1680555556,0.1134377836,0.1500004959,0.1500004959,0.1500004959,1,1,1,1,1.5625,3.125,3.125,3.361111111,3.361111111,2.999980165,2.999980165,2.999980165,126.4643856,3.125,30.25,3.125,20,20,378.125,0.03125,0.5671875,1.25,0.01264643856,0.25,0.47265625,1.890625,1,2.26875,0.03125,18.90625,0.3125,9.453125,5,0.00125,0.6302083333,5,0.125,45,3.125,1264643.856,1361.25,196020.1255,0.0001264642632,126.4642632,0.000048828125,151.25,8000,400
 Kattha-MP,8.333333333,0.01377410468,0.5574187794,0.04166666667,0.04166666667,0.02203856749,0.02203856749,0.02203856749,0.02203856749,0.02203856749,0.03443526171,0.03443526171,0.06887052342,0.07407407407,0.06887052342,0.07407407407,0.050000125,0.06611592104,0.06611592104,0.06611592104,0.4407713499,0.4407713499,0.4407713499,0.4407713499,0.6887052342,1.377410468,1.377410468,1.481481481,1.481481481,1.322305307,1.322305307,1.322305307,55.74187794,1.377410468,13.33333333,1.377410468,8.815426997,8.815426997,166.6666667,0.01377410468,0.25,0.5509641873,0.005574187794,0.1101928375,0.2083333333,0.8333333333,0.4407713499,1,0.01377410468,8.333333333,0.1377410468,4.166666667,2.203856749,0.0005509641873,0.2777777778,2.203856749,0.05509641873,19.83471074,1.377410468,557418.7794,600,86400.0553,0.000055741824,55.74182398,0.00002152203857,66.66666667,3526.170799,176.3085399
 Killa,605,1,40.46860339,3.025,3.025,1.6,1.6,1.6,1.6,1.6,2.5,2.5,5,5.377777778,5,5.377777778,3.630009075,4.800015868,4.800015868,4.800015868,32,32,32,32,50,100,100,107.5555556,107.5555556,95.99936529,95.99936529,95.99936529,4046.860339,100,968,100,640,640,12100,1,18.15,40,0.4046860339,8,15.125,60.5,32,72.6,1,605,10,302.5,160,0.04,20.16666667,160,4,1440,100,40468603.39,43560,6272644.014,0.004046856422,4046.856421,0.0015625,4840,256000,12800
 Kranta,1,0.001652892562,0.06689025353,0.005,0.005,0.002644628099,0.002644628099,0.002644628099,0.002644628099,0.002644628099,0.004132231405,0.004132231405,0.00826446281,0.008888888889,0.00826446281,0.008888888889,0.006000015,0.007933910525,0.007933910525,0.007933910525,0.05289256198,0.05289256198,0.05289256198,0.05289256198,0.0826446281,0.1652892562,0.1652892562,0.1777777778,0.1777777778,0.1586766368,0.1586766368,0.1586766368,6.689025353,0.1652892562,1.6,0.1652892562,1.05785124,1.05785124,20,0.001652892562,0.03,0.06611570248,0.0006689025353,0.0132231405,0.025,0.1,0.05289256198,0.12,0.001652892562,1,0.01652892562,0.5,0.2644628099,0.00006611570248,0.03333333333,0.2644628099,0.006611570248,2.380165289,0.1652892562,66890.25353,72,10368.00664,0.00000668901888,6.689018878,0.000002582644628,8,423.1404959,21.15702479
 Kuncham,60.5,0.1,4.046860339,0.3025,0.3025,0.16,0.16,0.16,0.16,0.16,0.25,0.25,0.5,0.5377777778,0.5,0.5377777778,0.3630009075,0.4800015868,0.4800015868,0.4800015868,3.2,3.2,3.2,3.2,5,10,10,10.75555556,10.75555556,9.599936529,9.599936529,9.599936529,404.6860339,10,96.8,10,64,64,1210,0.1,1.815,4,0.04046860339,0.8,1.5125,6.05,3.2,7.26,0.1,60.5,1,30.25,16,0.004,2.016666667,16,0.4,144,10,4046860.339,4356,627264.4014,0.0004046856422,404.6856421,0.00015625,484,25600,1280
 Lecha,2,0.003305785124,0.1337805071,0.01,0.01,0.005289256198,0.005289256198,0.005289256198,0.005289256198,0.005289256198,0.00826446281,0.00826446281,0.01652892562,0.01777777778,0.01652892562,0.01777777778,0.01200003,0.01586782105,0.01586782105,0.01586782105,0.105785124,0.105785124,0.105785124,0.105785124,0.1652892562,0.3305785124,0.3305785124,0.3555555556,0.3555555556,0.3173532737,0.3173532737,0.3173532737,13.37805071,0.3305785124,3.2,0.3305785124,2.115702479,2.115702479,40,0.003305785124,0.06,0.132231405,0.001337805071,0.02644628099,0.05,0.2,0.105785124,0.24,0.003305785124,2,0.03305785124,1,0.5289256198,0.000132231405,0.06666666667,0.5289256198,0.0132231405,4.760330579,0.3305785124,133780.5071,144,20736.01327,0.00001337803776,13.37803776,0.000005165289256,16,846.2809917,42.31404959
 Marla,3.78125,0.00625,0.2529287712,0.01890625,0.01890625,0.01,0.01,0.01,0.01,0.01,0.015625,0.015625,0.03125,0.03361111111,0.03125,0.03361111111,0.02268755672,0.03000009917,0.03000009917,0.03000009917,0.2,0.2,0.2,0.2,0.3125,0.625,0.625,0.6722222222,0.6722222222,0.5999960331,0.5999960331,0.5999960331,25.29287712,0.625,6.05,0.625,4,4,75.625,0.00625,0.1134375,0.25,0.002529287712,0.05,0.09453125,0.378125,0.2,0.45375,0.00625,3.78125,0.0625,1.890625,1,0.00025,0.1260416667,1,0.025,9,0.625,252928.7712,272.25,39204.02509,0.00002529285264,25.29285263,0.000009765625,30.25,1600,80
 Murabba,15125,25,1011.715085,75.625,75.625,40,40,40,40,40,62.5,62.5,125,134.4444444,125,134.4444444,90.75022688,120.0003967,120.0003967,120.0003967,800,800,800,800,1250,2500,2500,2688.888889,2688.888889,2399.984132,2399.984132,2399.984132,101171.5085,2500,24200,2500,16000,16000,302500,25,453.75,1000,10.11715085,200,378.125,1512.5,800,1815,25,15125,250,7562.5,4000,1,504.1666667,4000,100,36000,2500,1011715085,1089000,156816100.4,0.1011714106,101171.4105,0.0390625,121000,6400000,320000
 Nalli,30,0.04958677686,2.006707606,0.15,0.15,0.07933884298,0.07933884298,0.07933884298,0.07933884298,0.07933884298,0.1239669421,0.1239669421,0.2479338843,0.2666666667,0.2479338843,0.2666666667,0.18000045,0.2380173158,0.2380173158,0.2380173158,1.58677686,1.58677686,1.58677686,1.58677686,2.479338843,4.958677686,4.958677686,5.333333333,5.333333333,4.760299105,4.760299105,4.760299105,200.6707606,4.958677686,48,4.958677686,31.73553719,31.73553719,600,0.04958677686,0.9,1.983471074,0.02006707606,0.3966942149,0.75,3,1.58677686,3.6,0.04958677686,30,0.4958677686,15,7.933884298,0.001983471074,1,7.933884298,0.1983471074,71.40495868,4.958677686,2006707.606,2160,311040.1991,0.0002006705664,200.6705663,0.00007747933884,240,12694.21488,634.7107438
 Perch,3.78125,0.00625,0.2529287712,0.01890625,0.01890625,0.01,0.01,0.01,0.01,0.01,0.015625,0.015625,0.03125,0.03361111111,0.03125,0.03361111111,0.02268755672,0.03000009917,0.03000009917,0.03000009917,0.2,0.2,0.2,0.2,0.3125,0.625,0.625,0.6722222222,0.6722222222,0.5999960331,0.5999960331,0.5999960331,25.29287712,0.625,6.05,0.625,4,4,75.625,0.00625,0.1134375,0.25,0.002529287712,0.05,0.09453125,0.378125,0.2,0.45375,0.00625,3.78125,0.0625,1.890625,1,0.00025,0.1260416667,1,0.025,9,0.625,252928.7712,272.25,39204.02509,0.00002529285264,25.29285263,0.000009765625,30.25,1600,80
 Rood,151.25,0.25,10.11715085,0.75625,0.75625,0.4,0.4,0.4,0.4,0.4,0.625,0.625,1.25,1.344444444,1.25,1.344444444,0.9075022688,1.200003967,1.200003967,1.200003967,8,8,8,8,12.5,25,25,26.88888889,26.88888889,23.99984132,23.99984132,23.99984132,1011.715085,25,242,25,160,160,3025,0.25,4.5375,10,0.1011715085,2,3.78125,15.125,8,18.15,0.25,151.25,2.5,75.625,40,0.01,5.041666667,40,1,360,25,10117150.85,10890,1568161.004,0.001011714106,1011.714105,0.000390625,1210,64000,3200
 Sarsahi (Square Karam),0.4201388889,0.0006944444444,0.0281031968,0.002100694444,0.002100694444,0.001111111111,0.001111111111,0.001111111111,0.001111111111,0.001111111111,0.001736111111,0.001736111111,0.003472222222,0.003734567901,0.003472222222,0.003734567901,0.002520839635,0.003333344353,0.003333344353,0.003333344353,0.02222222222,0.02222222222,0.02222222222,0.02222222222,0.03472222222,0.06944444444,0.06944444444,0.07469135802,0.07469135802,0.0666662259,0.0666662259,0.0666662259,2.81031968,0.06944444444,0.6722222222,0.06944444444,0.4444444444,0.4444444444,8.402777778,0.0006944444444,0.01260416667,0.02777777778,0.000281031968,0.005555555556,0.01050347222,0.04201388889,0.02222222222,0.05041666667,0.0006944444444,0.4201388889,0.006944444444,0.2100694444,0.1111111111,0.00002777777778,0.01400462963,0.1111111111,0.002777777778,1,0.06944444444,28103.1968,30.25,4356.002788,0.00000281031696,2.810316959,0.000001085069444,3.361111111,177.7777778,8.888888889
 Shatak,6.05,0.01,0.4046860339,0.03025,0.03025,0.016,0.016,0.016,0.016,0.016,0.025,0.025,0.05,0.05377777778,0.05,0.05377777778,0.03630009075,0.04800015868,0.04800015868,0.04800015868,0.32,0.32,0.32,0.32,0.5,1,1,1.075555556,1.075555556,0.9599936529,0.9599936529,0.9599936529,40.46860339,1,9.68,1,6.4,6.4,121,0.01,0.1815,0.4,0.004046860339,0.08,0.15125,0.605,0.32,0.726,0.01,6.05,0.1,3.025,1.6,0.0004,0.2016666667,1.6,0.04,14.4,1,404686.0339,435.6,62726.44014,0.00004046856422,40.46856421,0.000015625,48.4,2560,128
 Square Centimeters,0.00001494986111,0.00000002471051423,0.000001,0.00000007474930556,0.00000007474930556,0.00000003953682277,0.00000003953682277,0.00000003953682277,0.00000003953682277,0.00000003953682277,0.00000006177628558,0.00000006177628558,0.0000001235525712,0.0000001328876543,0.0000001235525712,0.0000001328876543,0.00000008969939092,0.0000001186108604,0.0000001186108604,0.0000001186108604,0.0000007907364555,0.0000007907364555,0.0000007907364555,0.0000007907364555,0.000001235525712,0.000002471051423,0.000002471051423,0.000002657753086,0.000002657753086,0.000002372193682,0.000002372193682,0.000002372193682,0.0001,0.000002471051423,0.00002391977778,0.000002471051423,0.00001581472911,0.00001581472911,0.0002989972222,0.00000002471051423,0.0000004484958333,0.0000009884205693,0.00000001,0.0000001976841139,0.0000003737465278,0.000001494986111,0.0000007907364555,0.000001793983333,0.00000002471051423,0.00001494986111,0.0000002471051423,0.000007474930556,0.000003953682277,0.0000000009884205693,0.0000004983287037,0.000003953682277,0.00000009884205693,0.0000355831405,0.000002471051423,1,0.00107639,0.1550002592,0,0.0000999999032,0,0.0001195988889,0.006325891644,0.0003162945822
 Square Feet,0.01388888889,0.00002295684114,0.0009290312991,0.00006944444444,0.00006944444444,0.00003673094582,0.00003673094582,0.00003673094582,0.00003673094582,0.00003673094582,0.00005739210285,0.00005739210285,0.0001147842057,0.0001234567901,0.0001147842057,0.0001234567901,0.00008333354167,0.0001101932017,0.0001101932017,0.0001101932017,0.0007346189164,0.0007346189164,0.0007346189164,0.0007346189164,0.001147842057,0.002295684114,0.002295684114,0.002469135802,0.002469135802,0.002203842178,0.002203842178,0.002203842178,0.09290312991,0.002295684114,0.02222222222,0.002295684114,0.01469237833,0.01469237833,0.2777777778,0.00002295684114,0.0004166666667,0.0009182736455,0.000009290312991,0.0001836547291,0.0003472222222,0.001388888889,0.0007346189164,0.001666666667,0.00002295684114,0.01388888889,0.0002295684114,0.006944444444,0.003673094582,0.0000009182736455,0.000462962963,0.003673094582,0.00009182736455,0.03305785124,0.002295684114,929.0312991,1,144.0000922,0.00000009290304,0.09290303997,0.00000003587006428,0.1111111111,5.876951331,0.2938475666
 Square Inch,0.00009645055556,0.0000001594224059,0.000006451602114,0.0000004822527778,0.0000004822527778,0.0000002550758494,0.0000002550758494,0.0000002550758494,0.0000002550758494,0.0000002550758494,0.0000003985560147,0.0000003985560147,0.0000007971120294,0.0000008573382716,0.0000007971120294,0.0000008573382716,0.0000005787047801,0.0000007652300779,0.0000007652300779,0.0000007652300779,0.000005101516988,0.000005101516988,0.000005101516988,0.000005101516988,0.000007971120294,0.00001594224059,0.00001594224059,0.00001714676543,0.00001714676543,0.00001530444978,0.00001530444978,0.00001530444978,0.0006451602114,0.00001594224059,0.0001543208889,0.00001594224059,0.0001020303398,0.0001020303398,0.001929011111,0.0000001594224059,0.000002893516667,0.000006376896235,0.00000006451602114,0.000001275379247,0.000002411263889,0.000009645055556,0.000005101516988,0.00001157406667,0.0000001594224059,0.00009645055556,0.000001594224059,0.00004822527778,0.00002550758494,0.000000006376896235,0.000003215018519,0.00002550758494,0.0000006376896235,0.0002295682645,0.00001594224059,6.451602114,0.00694444,1,0.0000000006451595871,0.0006451595869,0.0000000002490975092,0.0007716044444,0.0408121359,0.002040606795
 Square Kilometer,149498.7558,247.1053815,10000.00968,747.4937789,747.4937789,395.3686103,395.3686103,395.3686103,395.3686103,395.3686103,617.7634537,617.7634537,1235.526907,1328.877829,1235.526907,1328.877829,896.9947772,1186.109752,1186.109752,1186.109752,7907.372207,7907.372207,7907.372207,7907.372207,12355.26907,24710.53815,24710.53815,26577.55658,26577.55658,23721.95978,23721.95978,23721.95978,1000000.968,24710.53815,239198.0093,24710.53815,158147.4441,158147.4441,2989975.116,247.1053815,4484.962674,9884.215259,100.0000968,1976.843052,3737.468895,14949.87558,7907.372207,17939.85069,247.1053815,149498.7558,2471.053815,74749.37789,39536.86103,9.884215259,4983.29186,39536.86103,988.4215259,355831.7493,24710.53815,10000009677,10763910.42,1550004092,1,999999.9997,0.3861021585,1195990.046,63258977.66,3162948.883
 Square Meter,0.1494987558,0.0002471053815,0.01000000968,0.0007474937792,0.0007474937792,0.0003953686105,0.0003953686105,0.0003953686105,0.0003953686105,0.0003953686105,0.0006177634539,0.0006177634539,0.001235526908,0.00132887783,0.001235526908,0.00132887783,0.0008969947775,0.001186109752,0.001186109752,0.001186109752,0.007907372209,0.007907372209,0.007907372209,0.007907372209,0.01235526908,0.02471053815,0.02471053815,0.02657755659,0.02657755659,0.02372195979,0.02372195979,0.02372195979,1.000000968,0.02471053815,0.2391980093,0.02471053815,0.1581474442,0.1581474442,2.989975117,0.0002471053815,0.004484962675,0.009884215262,0.0001000000968,0.001976843052,0.003737468896,0.01494987558,0.007907372209,0.0179398507,0.0002471053815,0.1494987558,0.002471053815,0.07474937792,0.03953686105,0.000009884215262,0.004983291861,0.03953686105,0.0009884215262,0.3558317494,0.02471053815,10000.00968,10.76391042,1550.004092,0.000001,1,0.0000003861021587,1.195990047,63.25897767,3.162948884
 Square Mile,387200,640,25899.90617,1936,1936,1024,1024,1024,1024,1024,1600,1600,3200,3441.777778,3200,3441.777778,2323.205808,3072.010155,3072.010155,3072.010155,20480,20480,20480,20480,32000,64000,64000,68835.55556,68835.55556,61439.59379,61439.59379,61439.59379,2589990.617,64000,619520,64000,409600,409600,7744000,640,11616,25600,258.9990617,5120,9680,38720,20480,46464,640,387200,6400,193600,102400,25.6,12906.66667,102400,2560,921600,64000,25899906168,27878400,4014492169,2.58998811,2589988.11,1,3097600,163840000,8192000
 Square Yard,0.125,0.0002066115702,0.008361281692,0.000625,0.000625,0.0003305785124,0.0003305785124,0.0003305785124,0.0003305785124,0.0003305785124,0.0005165289256,0.0005165289256,0.001033057851,0.001111111111,0.001033057851,0.001111111111,0.000750001875,0.0009917388157,0.0009917388157,0.0009917388157,0.006611570248,0.006611570248,0.006611570248,0.006611570248,0.01033057851,0.02066115702,0.02066115702,0.02222222222,0.02222222222,0.01983457961,0.01983457961,0.01983457961,0.8361281692,0.02066115702,0.2,0.02066115702,0.132231405,0.132231405,2.5,0.0002066115702,0.00375,0.00826446281,0.00008361281692,0.001652892562,0.003125,0.0125,0.006611570248,0.015,0.0002066115702,0.125,0.002066115702,0.0625,0.03305785124,0.00000826446281,0.004166666667,0.03305785124,0.000826446281,0.2975206612,0.02066115702,8361.281692,9,1296.000829,0.00000083612736,0.8361273597,0.0000003228305785,1,52.89256198,2.644628099
 Unwasi (एक उनवांसी),0.00236328125,0.00000390625,0.000158080482,0.00001181640625,0.00001181640625,0.00000625,0.00000625,0.00000625,0.00000625,0.00000625,0.000009765625,0.000009765625,0.00001953125,0.00002100694444,0.00001953125,0.00002100694444,0.00001417972295,0.00001875006198,0.00001875006198,0.00001875006198,0.000125,0.000125,0.000125,0.000125,0.0001953125,0.000390625,0.000390625,0.0004201388889,0.0004201388889,0.0003749975207,0.0003749975207,0.0003749975207,0.0158080482,0.000390625,0.00378125,0.000390625,0.0025,0.0025,0.047265625,0.00000390625,0.0000708984375,0.00015625,0.00000158080482,0.00003125,0.00005908203125,0.000236328125,0.000125,0.00028359375,0.00000390625,0.00236328125,0.0000390625,0.001181640625,0.000625,0.00000015625,0.00007877604167,0.000625,0.000015625,0.005625,0.000390625,158.080482,0.17015625,24.50251568,0.0000000158080329,0.0158080329,0.000000006103515625,0.01890625,1,0.05
 kachwansi (एक कचवांसी),0.047265625,0.000078125,0.00316160964,0.000236328125,0.000236328125,0.000125,0.000125,0.000125,0.000125,0.000125,0.0001953125,0.0001953125,0.000390625,0.0004201388889,0.000390625,0.0004201388889,0.000283594459,0.0003750012397,0.0003750012397,0.0003750012397,0.0025,0.0025,0.0025,0.0025,0.00390625,0.0078125,0.0078125,0.008402777778,0.008402777778,0.007499950414,0.007499950414,0.007499950414,0.316160964,0.0078125,0.075625,0.0078125,0.05,0.05,0.9453125,0.000078125,0.00141796875,0.003125,0.0000316160964,0.000625,0.001181640625,0.0047265625,0.0025,0.005671875,0.000078125,0.047265625,0.00078125,0.0236328125,0.0125,0.000003125,0.001575520833,0.0125,0.0003125,0.1125,0.0078125,3161.60964,3.403125,490.0503136,0.000000316160658,0.3161606579,0.0000001220703125,0.378125,20,1